ID,Category,Latitude,Longitude
SLD_00001,Landslide,8.49,77.39
SLD_00002,Landslide,8.507778,77.189722
SLD_00003,Landslide,8.507833,77.189
SLD_00004,Landslide,8.508861,77.1575
SLD_00005,Landslide,8.509833,77.169139
SLD_00006,Landslide,8.510528,77.157944
SLD_00007,Landslide,8.519028,77.16775
SLD_00008,Landslide,8.54,77.47
SLD_00009,Landslide,8.54,77.47
SLD_00010,Landslide,8.54,77.47
SLD_00011,Landslide,8.56,77.4
SLD_00012,Landslide,8.58,77.43
SLD_00013,Landslide,8.588778,77.099083
SLD_00014,Landslide,8.59,77.35
SLD_00015,Landslide,8.59,77.35
SLD_00016,Landslide,8.64294,77.0712
SLD_00017,Landslide,8.703,77.114472
SLD_00018,Landslide,8.711083,77.143339
SLD_00019,Landslide,8.74275,77.13425
SLD_00020,Landslide,8.742944,77.132194
SLD_00021,Landslide,8.743139,77.161028
SLD_00022,Landslide,8.747056,77.132944
SLD_00023,Landslide,8.747056,77.132944
SLD_00024,Landslide,8.74875,77.130722
SLD_00025,Landslide,8.751889,77.071
SLD_00026,Landslide,8.75475,77.125389
SLD_00027,Landslide,8.758972,77.114917
SLD_00028,Landslide,8.763333,77.076861
SLD_00029,Landslide,8.763333,77.109556
SLD_00030,Landslide,8.764472,77.078611
SLD_00031,Landslide,8.766997,77.099767
SLD_00032,Landslide,8.768111,77.082278
SLD_00033,Landslide,8.807056,77.106833
SLD_00034,Landslide,8.807833,77.121694
SLD_00035,Landslide,8.809139,77.12625
SLD_00036,Landslide,8.832028,77.190336
SLD_00037,Landslide,8.842944,77.155417
SLD_00038,Landslide,8.846797,77.176111
SLD_00039,Landslide,8.871111,76.978056
SLD_00040,Landslide,8.88925,77.016916
SLD_00041,Landslide,8.9,77.3
SLD_00042,Landslide,8.913889,76.988889
SLD_00043,Landslide,8.944806,77.147503
SLD_00044,Landslide,8.951111,77.049444
SLD_00045,Landslide,8.96125,77.135342
SLD_00046,Landslide,8.964111,77.139056
SLD_00047,Landslide,8.965528,77.090472
SLD_00048,Landslide,8.968028,77.13825
SLD_00049,Landslide,8.971278,77.155222
SLD_00050,Landslide,8.984111,77.131806
SLD_00051,Landslide,8.984972,77.160667
SLD_00052,Landslide,8.999222,77.13325
SLD_00053,Landslide,8.999972,77.10525
SLD_00054,Landslide,9.000914,77.046006
SLD_00055,Landslide,9.002625,77.042514
SLD_00056,Landslide,9.003225,77.041883
SLD_00057,Landslide,9.011014,77.037508
SLD_00058,Landslide,9.019408,77.049903
SLD_00059,Landslide,9.022806,77.054992
SLD_00060,Landslide,9.031964,77.102208
SLD_00061,Landslide,9.041661,77.078336
SLD_00062,Landslide,9.044042,77.070014
SLD_00063,Landslide,9.07,77.22
SLD_00064,Landslide,9.071744,76.997411
SLD_00065,Landslide,9.074494,77.133522
SLD_00066,Landslide,9.077017,77.170594
SLD_00067,Landslide,9.079019,77.123406
SLD_00068,Landslide,9.080303,77.165261
SLD_00069,Landslide,9.082639,77.160867
SLD_00070,Landslide,9.099117,77.100708
SLD_00071,Landslide,9.117406,77.018122
SLD_00072,Landslide,9.121653,77.040825
SLD_00073,Landslide,9.164556,76.873031
SLD_00074,Landslide,9.164556,76.873031
SLD_00075,Landslide,9.166425,76.879383
SLD_00076,Landslide,9.167267,76.861056
SLD_00077,Landslide,9.170292,76.873753
SLD_00078,Landslide,9.170569,76.875092
SLD_00079,Landslide,9.170822,76.873661
SLD_00080,Landslide,9.176258,76.859747
SLD_00081,Landslide,9.177086,76.863
SLD_00082,Landslide,9.178389,76.879028
SLD_00083,Landslide,9.183183,76.888167
SLD_00084,Landslide,9.18425,76.887844
SLD_00085,Landslide,9.184814,76.869028
SLD_00086,Landslide,9.233194,76.935817
SLD_00087,Landslide,9.2339,76.933897
SLD_00088,Landslide,9.260186,76.962403
SLD_00089,Landslide,9.268942,76.968072
SLD_00090,Landslide,9.269308,76.96805
SLD_00091,Landslide,9.272417,76.969258
SLD_00092,Landslide,9.298778,76.801817
SLD_00093,Landslide,9.30035,76.997306
SLD_00094,Landslide,9.301225,76.985617
SLD_00095,Landslide,9.301731,76.980503
SLD_00096,Landslide,9.302208,76.979242
SLD_00097,Landslide,9.302861,76.977833
SLD_00098,Landslide,9.303428,76.990983
SLD_00099,Landslide,9.304333,76.990425
SLD_00100,Landslide,9.304603,76.988392
